branch,product_line,total_profit
A,"Home and lifestyle",1067.491
A,"Sports and travel",922.516
A,"Electronic accessories",872.250
A,"Food and beverages",817.297
A,"Fashion accessories",777.744
A,"Health and beauty",599.901
B,"Sports and travel",951.826
B,"Health and beauty",951.468
B,"Home and lifestyle",835.679
B,"Electronic accessories",811.979
B,"Fashion accessories",781.593
B,"Food and beverages",724.524
C,"Food and beverages",1131.761
C,"Fashion accessories",1026.678
C,"Electronic accessories",903.292
C,"Health and beauty",791.214
C,"Sports and travel",750.574
C,"Home and lifestyle",661.699
