venue,team1,team2,toss winner,toss decision,winner,,,,,,,,,,,
SCG,New Zealand,Australia,Australia,Field,New Zealand,,,,,,,,,,,
Optus Stadium,Afghanistan,England,England,Field,England,,,,,,,,,,,
Blundstone Arena,Ireland,Sri lanka,Ireland,Bat,Sri lanka,,,,,,,,,,,
MCG,Pakistan,India,India,Field,India,,,,,,,,,,,
Blundstone Arena,Bangladesh,Netherlands,Netherlands,Field,Bangladesh,,,,,,,,,,,
Blundstone Arena,Zimbabwe,South Africa,Zimbabwe,Bat,,,,,,,,,,,,
Optus Stadium,Sri lanka,Australia,Australia,Field,Australia,,,,,,,,,,,
MCG,Ireland,England,England,Field,Ireland,,,,,,,,,,,
MCG,New Zealand,Afghanistan,,,,,,,,,,,,,,
SCG,South Africa,Bangladesh,South Africa,Bat,South Africa,,,,,,,,,,,
SCG,India,Netherlands,India,Bat,India,,,,,,,,,,,
Optus Stadium,Zimbabwe,Pakistan,Zimbabwe,Bat,Zimbabwe,,,,,,,,,,,
MCG,Afghanistan,Ireland,,,,,,,,,,,,,,
MCG,Australia,England,,,,,,,,,,,,,,
SCG,New Zealand,Sri lanka,New Zealand,Bat,New Zealand,,,,,,,,,,,
The Gabba,Bangladesh,Zimbabwe,Bangladesh,Bat,Bangladesh,,,,,,,,,,,
Optus Stadium,Netherlands,Pakistan,Netherlands,Bat,Pakistan,,,,,,,,,,,
Optus Stadium,India,South Africa,India,Bat,South Africa,,,,,,,,,,,
The Gabba,Australia,Ireland,Ireland,Field,Australia,,,,,,,,,,,
The Gabba,Afghanistan,Sri lanka,Afghanistan,Bat,Sri lanka,,,,,,,,,,,
The Gabba,England,New Zealand,England,Bat,England,,,,,,,,,,,
Adelaide Oval,Zimbabwe,Netherlands,Zimbabwe,Bat,Netherlands,,,,,,,,,,,
Adelaide Oval,India,Bangladesh,Bangladesh,Field,India,,,,,,,,,,,
SCG,Pakistan,South Africa,Pakistan,Bat,Pakistan,,,,,,,,,,,
Adelaide Oval,New Zealand,Ireland,Ireland,Field,New Zealand,,,,,,,,,,,
Adelaide Oval,Australia,Afghanistan,Afghanistan,Field,Australia,,,,,,,,,,,
SCG,Sri lanka,England,Sri lanka,Bat,England,,,,,,,,,,,
Adelaide Oval,Netherlands,South Africa,South Africa,Field,Netherlands,,,,,,,,,,,
Adelaide Oval,Bangladesh,Pakistan,Bangladesh,Bat,Pakistan,,,,,,,,,,,
MCG,India,Zimbabwe,India,Bat,India,,,,,,,,,,,
SCG,New Zealand,Pakistan,New Zealand,Bat,Pakistan,,,,,,,,,,,
Adelaide Oval,India,England,England,Field,England,,,,,,,,,,,
MCG,Pakistan,England,England,Field,England,,,,,,,,,,,
