match_number,innings,balls,batting_team,bowling_team,striker,non_striker,runs_off_bat,extras,running_runs,fours,sixes,total_runs,bowler,wicket_type,caught,bowled,lbw,run_out,total_wickets,is_boundary,player_dismissed,team1,team2,date,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type,match_id,is_wickets
1,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Canada,United States of America,01-06-2024,Grand Prairie Stadium,Dallas,United States of America,field,Aaron Jones,RK Illingworth,Sharfuddoula,L Rusere,RB Richardson,United States of America,15,7,Group,1,1
2,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Papua New Guinea,West Indies,02-06-2024,Providence Stadium,Providence,West Indies,field,RL Chase,AT Holdstock,Rashid Riaz,HDPK Dharmasena,AJ Pycroft,West Indies,15,5,Group,1,1
3,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Oman,Namibia,02-06-2024,Kensington Oval,Bridgetown,Namibia,field,D Wiese,J Madanagopal,JS Wilson,Asif Yaqoob,RS Madugalle,No Result,15,0,Group,1,1
4,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Sri Lanka,South Africa,03-06-2024,Nassau County International Cricket Stadium,New York,Sri Lanka,bat,A Nortje,CM Brown,RA Kettleborough,AG Wharf,JJ Crowe,South Africa,15,6,Group,1,1
5,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Afghanistan,Uganda,03-06-2024,Providence Stadium,Providence,Uganda,field,Fazalhaq Farooqi,Ahsan Raza,HDPK Dharmasena,Rashid Riaz,AJ Pycroft,Afghanistan,125,0,Group,1,1
6,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Scotland,England,04-06-2024,Kensington Oval,Bridgetown,Scotland,bat,No Result,Asif Yaqoob,Nitin Menon,J Madanagopal,RS Madugalle,No Result,15,0,Group,1,1
7,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Nepal,Netherlands,04-06-2024,Grand Prairie Stadium,Dallas,Netherlands,field,TJG Pringle,L Rusere,RJ Tucker,RK Illingworth,RB Richardson,Netherlands,15,6,Group,1,1
8,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Ireland,India,05-06-2024,Nassau County International Cricket Stadium,New York,India,field,JJ Bumrah,AG Wharf,CB Gaffaney,CM Brown,DC Boon,India,15,8,Group,1,1
9,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Papua New Guinea,Uganda,05-06-2024,Providence Stadium,Providence,Uganda,field,Riazat Ali Shah,AT Holdstock,Rashid Riaz,HDPK Dharmasena,J Srinath,Uganda,15,3,Group,1,1
10,1,0.1,Papua New Guinea,West Indies,TP Ura,A Vala,0,0,0,0,0,0,AJ Hosein,dot,0,0,0,0,0,NO,y shashank,Australia,Oman,05-06-2024,Kensington Oval,Bridgetown,Oman,field,MP Stoinis,Asif Yaqoob,JS Wilson,Nitin Menon,RS Madugalle,Australia,39,0,Group,1,1
